c alpha coal mu x0 hom homLow homHigh
10 1 1 1 0 0.000239265 0.000238807 0.000239687
10 1 1 1 15 2.29321e-05 2.27977e-05 2.30732e-05
10 1 1 1 19 1.50751e-05 1.49784e-05 1.51805e-05
10 1 1 1 22 1.10618e-05 1.09785e-05 1.1157e-05
10 1 1 1 26 7.70486e-06 7.62359e-06 7.78217e-06
10 1 1 1 32 4.76237e-06 4.69964e-06 4.82324e-06
10 1 1 1 38 3.13541e-06 3.08721e-06 3.18677e-06
10 1 1 1 46 1.88035e-06 1.84576e-06 1.91892e-06
10 1 1 1 55 1.1728e-06 1.14393e-06 1.20037e-06
10 1 1 1 66 6.83104e-07 6.61587e-07 7.04249e-07
10 1 1 1 80 4.10377e-07 3.93593e-07 4.28098e-07
10 1 1 1 95 2.67489e-07 2.54408e-07 2.82229e-07
10 1 1 1 115 1.49471e-07 1.40368e-07 1.5985e-07
10 1 1 1 137 7.74929e-08 7.06939e-08 8.43487e-08
10 1 1 1 165 4.95196e-08 4.36352e-08 5.53204e-08
10 1 1 1 198 2.64638e-08 2.21898e-08 3.04287e-08
10 1 1 1 237 1.97169e-08 1.61995e-08 2.32964e-08
