c alpha coal mu x0 hom homLow homHigh
10 1.25 1 1 0 0.000220548 0.000220138 0.000220978
10 1.25 1 1 15 2.78671e-05 2.77136e-05 2.80145e-05
10 1.25 1 1 19 1.81958e-05 1.80823e-05 1.83219e-05
10 1.25 1 1 22 1.33893e-05 1.32831e-05 1.34854e-05
10 1.25 1 1 26 9.18185e-06 9.09648e-06 9.26301e-06
10 1.25 1 1 32 5.38284e-06 5.32022e-06 5.4463e-06
10 1.25 1 1 38 3.23501e-06 3.18533e-06 3.28202e-06
10 1.25 1 1 46 1.81589e-06 1.78127e-06 1.8512e-06
10 1.25 1 1 55 1.08812e-06 1.06082e-06 1.11722e-06
10 1.25 1 1 66 6.14569e-07 5.92623e-07 6.34207e-07
10 1.25 1 1 80 3.62453e-07 3.46733e-07 3.78116e-07
10 1.25 1 1 95 1.85032e-07 1.7394e-07 1.96764e-07
10 1.25 1 1 115 1.0019e-07 9.14794e-08 1.08408e-07
10 1.25 1 1 137 4.95705e-08 4.39459e-08 5.512e-08
10 1.25 1 1 165 3.09457e-08 2.61689e-08 3.61035e-08
10 1.25 1 1 198 1.28406e-08 9.97796e-09 1.54759e-08
10 1.25 1 1 237 1.16979e-08 8.69006e-09 1.46057e-08
