c alpha coal mu x0 hom homLow homHigh
10 0.5 1 1 0 0.000571159 0.000570497 0.000571854
10 0.5 1 1 15 1.1206e-05 1.11084e-05 1.13013e-05
10 0.5 1 1 19 7.31985e-06 7.24341e-06 7.39253e-06
10 0.5 1 1 22 5.50843e-06 5.44012e-06 5.57472e-06
10 0.5 1 1 26 3.97167e-06 3.91597e-06 4.02732e-06
10 0.5 1 1 32 2.65064e-06 2.604e-06 2.69562e-06
10 0.5 1 1 38 1.8937e-06 1.85819e-06 1.92768e-06
10 0.5 1 1 46 1.25088e-06 1.22133e-06 1.28057e-06
10 0.5 1 1 55 9.1864e-07 8.9521e-07 9.4477e-07
10 0.5 1 1 66 5.72812e-07 5.52246e-07 5.93721e-07
10 0.5 1 1 80 3.95209e-07 3.79131e-07 4.12909e-07
10 0.5 1 1 95 2.79666e-07 2.65622e-07 2.93781e-07
10 0.5 1 1 115 1.8293e-07 1.71365e-07 1.94865e-07
10 0.5 1 1 137 1.30296e-07 1.20404e-07 1.39257e-07
10 0.5 1 1 165 8.67762e-08 7.82669e-08 9.47634e-08
10 0.5 1 1 198 4.76976e-08 4.193e-08 5.31057e-08
10 0.5 1 1 237 3.25028e-08 2.77976e-08 3.72557e-08
