c alpha coal mu x0 hom homLow homHigh
10 2.05 1 1 15.4 1.17478e-05 1.16633e-05 1.18332e-05
10 2.05 1 1 18.5 6.59246e-06 6.52285e-06 6.66179e-06
10 2.05 1 1 22.2 3.59881e-06 3.54869e-06 3.64778e-06
10 2.05 1 1 26.2 2.008e-06 1.97205e-06 2.04545e-06
10 2.05 1 1 31.9 9.59809e-07 9.35199e-07 9.86925e-07
10 2.05 1 1 38.4 4.91488e-07 4.73433e-07 5.08952e-07
10 2.05 1 1 55.2 1.24028e-07 1.15025e-07 1.33505e-07
10 2.05 1 1 66.2 5.38384e-08 4.7813e-08 5.97734e-08
10 2.05 1 1 79.5 2.9834e-08 2.53489e-08 3.39775e-08
10 2.05 1 1 95.4 1.51328e-08 1.21384e-08 1.82694e-08
10 2.05 1 1 114.5 7.66206e-09 5.62001e-09 9.88535e-09
10 2.05 1 1 137.4 2.4262e-09 1.28343e-09 3.61757e-09
10 2.05 1 1 164.8 4.30909e-09 2.56706e-09 6.02969e-09
10 2.05 1 1 197.8 9.27238e-10 6.72274e-11 1.78683e-09
10 2.05 1 1 237.4 3.59134e-11 1.78311e-11 5.3739e-11
10 0.5 1 0.001 0 0.00442298 0.0044068 0.00443888
10 0.5 1 0.01 0 0.00433664 0.00432151 0.0043533
10 0.5 1 0.1 0 0.00358506 0.00357187 0.00359841
10 0.5 1 0.001 46 3.37462e-05 3.23397e-05 3.52186e-05
10 0.5 1 0.01 46 2.96897e-05 2.827e-05 3.09072e-05
10 0.5 1 0.1 46 1.83017e-05 1.73858e-05 1.92067e-05
10 0.5 1 0.001 15.4 0.000154765 0.000151346 0.000157929
10 0.5 1 0.01 15.4 0.000147288 0.00014413 0.00015047
10 0.5 1 0.1 15.4 0.000106906 0.000104785 0.000109221
10 0.5 1 0.001 18.5 0.000111006 0.000108364 0.000113545
10 0.5 1 0.01 18.5 0.000104484 0.000101871 0.000107002
10 0.5 1 0.1 18.5 7.45682e-05 7.2683e-05 7.64489e-05
10 0.5 1 0.001 22.2 9.05073e-05 8.791e-05 9.27228e-05
