c alpha coal mu x0 hom homLow homHigh
10 2 1 0.001 0 0.00156334 0.00155447 0.00157254
10 2 1 0.01 0 0.000990101 0.000983526 0.000997531
10 2 1 0.1 0 0.000431128 0.000426774 0.000435465
10 2 1 0.001 15 0.00144134 0.00143237 0.00145019
10 2 1 0.01 15 0.000881761 0.00087465 0.000888623
10 2 1 0.1 15 0.000358414 0.000354283 0.000362099
10 2 1 0.001 19 0.00137644 0.00136749 0.00138492
10 2 1 0.01 19 0.000829923 0.000823538 0.000836307
10 2 1 0.1 19 0.000319563 0.000316151 0.000322915
10 2 1 0.001 22 0.00136225 0.0013537 0.00137039
10 2 1 0.01 22 0.000806221 0.000799745 0.000812366
10 2 1 0.1 22 0.000298743 0.000295022 0.000301759
10 2 1 0.001 26 0.00129459 0.00128589 0.00130277
10 2 1 0.01 26 0.000744858 0.000738902 0.00075107
10 2 1 0.1 26 0.000259671 0.000256298 0.000262734
10 2 1 0.001 32 0.00119903 0.00119083 0.00120707
10 2 1 0.01 32 0.000655983 0.000650147 0.000661606
10 2 1 0.1 32 0.000204709 0.000202111 0.000207453
10 2 1 0.001 38 0.00110871 0.00110154 0.0011168
10 2 1 0.01 38 0.000576801 0.000571371 0.000581999
10 2 1 0.1 38 0.000159013 0.000156717 0.000161289
10 2 1 0.001 46 0.00102693 0.00101877 0.00103413
10 2 1 0.01 46 0.000502513 0.000497239 0.00050719
10 2 1 0.1 46 0.000115872 0.000113955 0.000117748
10 2 1 0.001 55 0.000944456 0.000937769 0.000951259
10 2 1 0.01 55 0.000429174 0.000424905 0.000433639
10 2 1 0.1 55 7.94751e-05 7.80821e-05 8.08724e-05
10 2 1 0.001 66 0.000852191 0.000846118 0.00085897
10 2 1 0.01 66 0.000356374 0.000352404 0.000360256
10 2 1 0.1 66 5.26203e-05 5.1508e-05 5.36656e-05
10 2 1 0.001 80 0.000764443 0.000757789 0.000770581
10 2 1 0.01 80 0.000287199 0.000283885 0.000290824
10 2 1 0.1 80 2.97473e-05 2.89592e-05 3.04521e-05
10 2 1 0.001 95 0.000672573 0.000667085 0.000678746
10 2 1 0.01 95 0.00022481 0.000222191 0.000227664
10 2 1 0.1 95 1.72097e-05 1.66833e-05 1.76837e-05
10 2 1 0.001 115 0.000589827 0.000584951 0.00059548
10 2 1 0.01 115 0.000171118 0.000168958 0.000173536
10 2 1 0.1 115 8.91355e-06 8.57692e-06 9.23739e-06
10 2 1 0.001 137 0.000508575 0.000503479 0.000513291
10 2 1 0.01 137 0.000125862 0.000123875 0.000127969
10 2 1 0.1 137 3.89597e-06 3.70237e-06 4.07906e-06
10 2 1 0.001 165 0.00042845 0.000424258 0.000432975
10 2 1 0.01 165 8.74947e-05 8.59071e-05 8.91056e-05
10 2 1 0.1 165 1.42103e-06 1.33329e-06 1.50656e-06
10 2 1 0.001 198 0.000364132 0.000359885 0.000368174
10 2 1 0.01 198 6.06873e-05 5.94718e-05 6.1872e-05
10 2 1 0.1 198 5.99732e-07 5.5456e-07 6.51318e-07
10 2 1 0.001 237 0.000302347 0.000299013 0.000306145
10 2 1 0.01 237 3.79839e-05 3.71334e-05 3.88584e-05
10 2 1 0.1 237 1.22614e-07 1.07163e-07 1.38561e-07
