c alpha coal mu x0 hom homLow homHigh
10 1.5 1 1 0 0.000214 0.00021358 0.000214417
10 1.5 1 1 15 3.23976e-05 3.22495e-05 3.25691e-05
10 1.5 1 1 19 2.12058e-05 2.10732e-05 2.13319e-05
10 1.5 1 1 22 1.56652e-05 1.55501e-05 1.57715e-05
10 1.5 1 1 26 1.04275e-05 1.0332e-05 1.05144e-05
10 1.5 1 1 32 5.66383e-06 5.59698e-06 5.7246e-06
10 1.5 1 1 38 3.18508e-06 3.13996e-06 3.23324e-06
10 1.5 1 1 46 1.65051e-06 1.61792e-06 1.68576e-06
10 1.5 1 1 55 8.95495e-07 8.70688e-07 9.19518e-07
10 1.5 1 1 66 4.1271e-07 3.97263e-07 4.28823e-07
10 1.5 1 1 80 2.20456e-07 2.09297e-07 2.33201e-07
10 1.5 1 1 95 1.04626e-07 9.6793e-08 1.12075e-07
10 1.5 1 1 115 6.21105e-08 5.62018e-08 6.83267e-08
10 1.5 1 1 137 1.84434e-08 1.52607e-08 2.193e-08
10 1.5 1 1 165 1.8383e-08 1.50695e-08 2.22302e-08
10 1.5 1 1 198 1.06186e-08 7.65425e-09 1.31266e-08
10 1.5 1 1 237 2.87252e-09 1.65367e-09 4.0893e-09
