c alpha coal mu x0 hom homLow homHigh
10 2.05 1 0.001 0 0.0506156 0.050553 0.0506731
10 2.05 1 0.01 0 0.0467901 0.0467355 0.0468443
10 2.05 1 0.1 0 0.0345648 0.0345259 0.0346042
10 2.05 1 0.001 15 0.00605271 0.00603324 0.00607137
10 2.05 1 0.01 15 0.00343211 0.00341831 0.00344453
10 2.05 1 0.1 15 0.000704104 0.000699674 0.000708611
10 2.05 1 0.001 19 0.00516039 0.00514409 0.00517815
10 2.05 1 0.01 19 0.00265434 0.00264358 0.00266491
10 2.05 1 0.1 19 0.000428221 0.000424961 0.000431388
10 2.05 1 0.001 22 0.00464708 0.00463109 0.00466225
10 2.05 1 0.01 22 0.00223357 0.00222377 0.00224285
10 2.05 1 0.1 22 0.000301967 0.000299433 0.000304626
10 2.05 1 0.001 26 0.00412677 0.00411102 0.00414301
10 2.05 1 0.01 26 0.00184416 0.0018359 0.00185351
10 2.05 1 0.1 26 0.000203299 0.000201344 0.000205267
10 2.05 1 0.001 32 0.00355499 0.00354022 0.00356781
10 2.05 1 0.01 32 0.00141404 0.00140592 0.00142187
10 2.05 1 0.1 32 0.000116797 0.000115435 0.000118259
10 2.05 1 0.001 38 0.003098 0.00308492 0.00311047
10 2.05 1 0.01 38 0.00110142 0.00109485 0.00110761
10 2.05 1 0.1 38 6.99919e-05 6.8957e-05 7.11289e-05
10 2.05 1 0.001 46 0.0026407 0.00262908 0.00265151
10 2.05 1 0.01 46 0.000820006 0.000814869 0.000825258
10 2.05 1 0.1 46 3.86699e-05 3.78438e-05 3.94387e-05
10 2.05 1 0.001 55 0.0022461 0.00223591 0.0022573
10 2.05 1 0.01 55 0.000599809 0.000595308 0.000603773
10 2.05 1 0.1 55 2.07739e-05 2.01901e-05 2.12956e-05
10 2.05 1 0.001 66 0.00189293 0.00188277 0.00190199
10 2.05 1 0.01 66 0.000426855 0.000423356 0.000430708
10 2.05 1 0.1 66 1.02292e-05 9.88005e-06 1.06024e-05
10 2.05 1 0.001 80 0.00155001 0.00154073 0.00155941
10 2.05 1 0.01 80 0.000285918 0.000283196 0.000288651
10 2.05 1 0.1 80 5.31217e-06 5.04695e-06 5.59326e-06
10 2.05 1 0.001 95 0.00128917 0.00128194 0.00129685
10 2.05 1 0.01 95 0.000193171 0.000191173 0.000195391
10 2.05 1 0.1 95 2.75493e-06 2.54659e-06 2.94825e-06
10 2.05 1 0.001 115 0.00101908 0.00101248 0.0010255
10 2.05 1 0.01 115 0.000117663 0.000116119 0.000119186
10 2.05 1 0.1 115 1.28821e-06 1.16165e-06 1.42963e-06
10 2.05 1 0.001 137 0.000804087 0.000798293 0.000809545
10 2.05 1 0.01 137 7.07702e-05 6.96559e-05 7.20178e-05
10 2.05 1 0.1 137 6.28219e-07 5.33767e-07 7.23775e-07
10 2.05 1 0.001 165 0.00061711 0.000612076 0.000621773
10 2.05 1 0.01 165 4.02722e-05 3.94784e-05 4.10929e-05
10 2.05 1 0.1 165 3.87702e-07 3.13297e-07 4.57117e-07
10 2.05 1 0.001 198 0.000458506 0.000454675 0.000462604
10 2.05 1 0.01 198 2.10512e-05 2.05104e-05 2.15974e-05
10 2.05 1 0.1 198 8.5708e-08 5.66971e-08 1.1477e-07
10 2.05 1 0.001 237 0.000323941 0.000320653 0.000326997
10 2.05 1 0.01 237 1.01331e-05 9.76559e-06 1.05174e-05
10 2.05 1 0.1 237 5.9532e-08 3.82902e-08 8.29177e-08
