c alpha coal mu x0 hom homLow homHigh
10 1 1 0.001 0 0.00218557 0.00217425 0.00219791
10 1 1 0.01 0 0.00210934 0.00209919 0.00212014
10 1 1 0.1 0 0.00163918 0.0016304 0.00164861
10 1 1 0.001 15 0.00047853 0.000473241 0.000483938
10 1 1 0.01 15 0.000436491 0.000431651 0.000441769
10 1 1 0.1 15 0.000264305 0.000260875 0.000267357
10 1 1 0.001 19 0.00038401 0.000379246 0.000388756
10 1 1 0.01 19 0.000344595 0.000340282 0.000348693
10 1 1 0.1 19 0.00019558 0.000192846 0.000198581
10 1 1 0.001 22 0.000341455 0.000336477 0.000345955
10 1 1 0.01 22 0.000303178 0.000298982 0.000306942
10 1 1 0.1 22 0.000164279 0.000161704 0.000166557
10 1 1 0.001 26 0.000289102 0.000285112 0.000293426
10 1 1 0.01 26 0.000252424 0.000248674 0.000256039
10 1 1 0.1 26 0.000127391 0.00012521 0.00012968
10 1 1 0.001 32 0.000240848 0.00023673 0.000244775
10 1 1 0.01 32 0.000206355 0.000202961 0.000209613
10 1 1 0.1 32 9.74416e-05 9.54354e-05 9.92443e-05
10 1 1 0.001 38 0.000193717 0.000189929 0.000197042
10 1 1 0.01 38 0.000161948 0.000158919 0.000164825
10 1 1 0.1 38 6.93912e-05 6.77157e-05 7.09377e-05
10 1 1 0.001 46 0.000169773 0.000166696 0.000172887
10 1 1 0.01 46 0.000139215 0.000136518 0.000141941
10 1 1 0.1 46 5.4151e-05 5.27767e-05 5.5576e-05
10 1 1 0.001 55 0.00013796 0.000135123 0.000140712
10 1 1 0.01 55 0.000110241 0.000107812 0.000112444
10 1 1 0.1 55 3.87662e-05 3.76182e-05 3.98966e-05
10 1 1 0.001 66 0.000115511 0.000112933 0.000118076
10 1 1 0.01 66 8.96459e-05 8.75526e-05 9.16399e-05
10 1 1 0.1 66 2.87922e-05 2.78669e-05 2.97511e-05
10 1 1 0.001 80 9.87728e-05 9.64449e-05 0.000101129
10 1 1 0.01 80 7.24429e-05 7.04773e-05 7.43021e-05
10 1 1 0.1 80 1.98316e-05 1.91121e-05 2.06311e-05
10 1 1 0.001 95 8.10212e-05 7.86684e-05 8.31827e-05
10 1 1 0.01 95 5.832e-05 5.65872e-05 5.99521e-05
10 1 1 0.1 95 1.38185e-05 1.32181e-05 1.44168e-05
10 1 1 0.001 115 6.21874e-05 6.02516e-05 6.41714e-05
10 1 1 0.01 115 4.27172e-05 4.13356e-05 4.40238e-05
10 1 1 0.1 115 9.19829e-06 8.7253e-06 9.6897e-06
10 1 1 0.001 137 5.43265e-05 5.25711e-05 5.62133e-05
10 1 1 0.01 137 3.53147e-05 3.4065e-05 3.65207e-05
10 1 1 0.1 137 6.25463e-06 5.85092e-06 6.63378e-06
10 1 1 0.001 165 4.18267e-05 4.01576e-05 4.33185e-05
10 1 1 0.01 165 2.53186e-05 2.42832e-05 2.6414e-05
10 1 1 0.1 165 3.81663e-06 3.53194e-06 4.0975e-06
10 1 1 0.001 198 3.78245e-05 3.63878e-05 3.93298e-05
10 1 1 0.01 198 2.11778e-05 2.01795e-05 2.21165e-05
10 1 1 0.1 198 2.64325e-06 2.41915e-06 2.85447e-06
10 1 1 0.001 237 2.98127e-05 2.85171e-05 3.11102e-05
10 1 1 0.01 237 1.47984e-05 1.39814e-05 1.55447e-05
10 1 1 0.1 237 1.57745e-06 1.40064e-06 1.74776e-06
