alpha coal mu x0 cdf cdfLow cdfHigh
1.45 0.1 1.64872 0 0.00563362 0.00540523 0.0058525
1.45 0.1 2.71828 0 0.00884697 0.00856511 0.00913246
1.45 0.1 4.48169 0 0.0128735 0.0125236 0.0132218
1.45 0.1 7.38906 0 0.0179283 0.0174953 0.0183564
1.45 0.1 12.1825 0 0.0235446 0.0230562 0.0240293
1.45 0.1 20.0855 0 0.0295991 0.0290502 0.0301542
1.45 0.1 33.1155 0 0.0365322 0.0359135 0.0371639
1.45 0.1 54.5982 0 0.0447793 0.0440695 0.0454749
1.45 0.1 90.0171 0 0.0546061 0.0537846 0.0553977
1.45 0.1 148.413 0 0.0649598 0.0640498 0.0658579
1.45 0.1 244.692 0 0.0771802 0.0761584 0.078175
1.45 0.1 403.429 0 0.0912598 0.0901486 0.0923967
1.45 0.1 665.142 0 0.10755 0.106349 0.108785
1.45 0.1 1096.63 0 0.12595 0.124589 0.127297
1.45 0.1 1808.04 0 0.147011 0.14549 0.148474
1.45 0.1 2980.96 0 0.168863 0.167219 0.170487
1.45 0.1 4914.77 0 0.194677 0.192919 0.196442
1.45 0.1 8103.08 0 0.221765 0.219773 0.223684
1.45 0.1 13359.7 0 0.252394 0.250315 0.254495
1.45 0.1 22026.5 0 0.284881 0.282663 0.287199
1.45 0.1 36315.5 0 0.318536 0.316117 0.320935
1.45 0.1 59874.1 0 0.355445 0.352858 0.358037
1.45 0.1 98715.8 0 0.392734 0.390063 0.395432
1.45 0.1 162755 0 0.431283 0.428529 0.434016
1.45 0.1 268337 0 0.47129 0.468457 0.474164
1.45 0.1 442413 0 0.510554 0.507507 0.513568
1.45 0.1 729416 0 0.551372 0.5483 0.554407
1.45 0.1 1.2026e+06 0 0.592995 0.589983 0.59597
1.45 1 1 0 0 0 0
1.45 1 2.71828 0 0.0575783 0.0557452 0.0594413
1.45 1 7.38906 0 0.11106 0.108495 0.113443
1.45 1 20.0855 0 0.173038 0.170074 0.176111
1.45 1 54.5982 0 0.243904 0.240488 0.247329
1.45 1 148.413 0 0.32319 0.319388 0.326839
1.45 1 403.429 0 0.408971 0.404781 0.412934
1.45 1 1096.63 0 0.503158 0.498936 0.507292
1.45 1 2980.96 0 0.590028 0.585917 0.594057
1.45 1 8103.08 0 0.670175 0.666383 0.674105
1.45 1 22026.5 0 0.742658 0.739008 0.746301
1.45 1 59874.1 0 0.798298 0.794893 0.801688
1.45 1 162755 0 0.844979 0.842011 0.848093
1.45 1 442413 0 0.881332 0.878627 0.884014
1.45 1 1.2026e+06 0 0.913224 0.910841 0.915608
1.65 0.01 1 0 0 0 0
1.65 0.01 1.64872 0 0.00058507 0.000562184 0.00060895
1.65 0.01 2.71828 0 0.00093293 0.000902114 0.000963676
1.65 0.01 4.48169 0 0.00144158 0.00140295 0.00148024
1.65 0.01 7.38906 0 0.00197069 0.00192583 0.0020153
1.65 0.01 12.1825 0 0.00266278 0.00260881 0.00271625
1.65 0.01 20.0855 0 0.00350496 0.00344075 0.00356999
