alpha distance scale_parameter trial time pos_1 pos_2
1.5 10 10 20 5 -5.56322 -5.56322
1.5 10 10 21 571 934.125 934.125
1.5 10 10 22 2996 -1788.27 -1788.27
1.5 10 10 23 8 29.737 29.737
1.5 10 10 24 4 -10.4462 -10.4462
1.5 10 10 25 83 42.7522 42.7522
1.5 10 10 26 5 -16.1727 -16.1727
1.5 10 10 27 3 5.96326 5.96326
1.5 10 10 28 1277 -942.912 -942.912
1.5 10 10 29 8 4.37727 4.37727
1.5 10 10 30 2 11.0252 11.0252
1.5 10 10 31 2 -12.3499 -12.3499
1.5 10 10 32 25 -40.6861 -40.6861
1.5 10 10 33 27 4.09221 4.09221
1.5 10 10 34 8 17.6849 17.6849
1.5 10 10 35 15 -8.92136 -8.92136
1.5 10 10 36 1331 495.605 495.605
1.5 10 10 37 258 234.838 234.838
1.5 10 10 38 19 -8.88838 -8.88838
1.5 10 10 39 3 -5.31559 -5.31559
1.5 10 10 40 109118 -6249.71 -6249.71
1.5 10 10 41 19 -106.307 -106.307
1.5 10 10 42 26 -22.6801 -22.6801
1.5 10 10 43 1 -7.56589 -7.56589
1.5 10 10 44 1430 226.576 226.576
1.5 10 10 45 15 2.94181 2.94181
1.5 10 10 46 202 -157.069 -157.069
1.5 10 10 47 18 -46.587 -46.587
1.5 10 10 48 2 0.0569935 0.0569935
1.5 10 10 49 125 79.114 79.114
2 10 10 0 3 -4.31985 -4.31985
2 10 10 1 2 0.564389 0.564389
2 10 10 2 99 74.1626 74.1626
2 10 10 3 91 -6.1873 -6.1873
2 10 10 4 13 0.376606 0.376606
2 10 10 5 427 -69.1308 -69.1308
2 10 10 6 46 -10.7548 -10.7548
2 10 10 7 1090 -192.441 -192.441
2 10 10 8 11 -21.6263 -21.6263
2 10 10 9 2 -9.79184 -9.79184
2 10 10 10 11 -27.6669 -27.6669
2 10 10 11 2 -5.45299 -5.45299
2 10 10 12 9 -6.49285 -6.49285
2 10 10 13 28956 714.713 714.713
2 10 10 14 2 3.04074 3.04074
2 10 10 15 40 6.13652 6.13652
2 10 10 16 61 -0.859114 -0.859114
2 10 10 17 95 -1.25648 -1.25648
2 10 10 18 4 -16.206 -16.206
2 10 10 19 63 7.03102 7.03102
2 10 10 20 5 -4.20909 -4.20909
2 10 10 21 84177 325.737 325.737
2 10 10 22 17 -6.54013 -6.54013
2 10 10 23 27 52.1081 52.1081
2 10 10 24 2 -13.2294 -13.2294
2 10 10 25 21 -3.09682 -3.09682
2 10 10 26 57 -29.2765 -29.2765
2 10 10 27 3 0.344406 0.344406
2 10 10 28 3713 -591.383 -591.383
2 10 10 29 10 -13.3727 -13.3727
2 10 10 30 3 14.5354 14.5354
2 10 10 31 2 -12.696 -12.696
2 10 10 32 4 3.68864 3.68864
2 10 10 33 24 2.89757 2.89757
2 10 10 34 11 3.08778 3.08778
2 10 10 35 210 29.3589 29.3589
2 10 10 36 15 6.64533 6.64533
2 10 10 37 160 61.6782 61.6782
2 10 10 38 31 -45.1807 -45.1807
2 10 10 39 3 -2.96003 -2.96003
2 10 10 40 4711 436.071 436.071
