c alpha coal mu x0 hom homLow homHigh
250 0.25 0.01 1 59874 1.10541e-09 2.00426e-11 2.18803e-09
250 0.25 0.1 0.001 59874 4.30211e-06 3.81805e-06 4.7854e-06
250 0.25 0.1 0.01 59874 1.34455e-06 1.06708e-06 1.62205e-06
250 0.25 0.1 0.1 59874 3.27158e-07 2.19388e-07 4.28912e-07
250 0.25 0.1 1 59874 1.10541e-08 2.00408e-10 2.18819e-08
250 0.25 1 0.001 59874 4.29595e-05 3.81852e-05 4.78813e-05
250 0.25 1 0.01 59874 1.34455e-05 1.06537e-05 1.6214e-05
250 0.25 1 0.1 59874 3.27158e-06 2.23718e-06 4.32925e-06
250 0.25 1 1 59874 1.10541e-07 2.00541e-09 2.18813e-07
250 0.25 0.01 0.001 148.41 8.24669e-06 7.65454e-06 8.82851e-06
250 0.25 0.01 0.01 148.41 7.61355e-06 7.06479e-06 8.14772e-06
250 0.25 0.01 0.1 148.41 5.17498e-06 4.79654e-06 5.56008e-06
250 0.25 0.01 1 148.41 4.36339e-07 3.8896e-07 4.82859e-07
250 0.25 0.1 0.001 148.41 8.23654e-05 7.65143e-05 8.8026e-05
250 0.25 0.1 0.01 148.41 7.60398e-05 7.05308e-05 8.1533e-05
250 0.25 0.1 0.1 148.41 5.16964e-05 4.77755e-05 5.54759e-05
250 0.25 0.1 1 148.41 4.36274e-06 3.88772e-06 4.82717e-06
250 0.25 1 0.001 148.41 0.000817253 0.000760828 0.000872884
250 0.25 1 0.01 148.41 0.000754369 0.000701457 0.000807709
250 0.25 1 0.1 148.41 0.000513594 0.000476035 0.000551281
250 0.25 1 1 148.41 4.35866e-05 3.89181e-05 4.81406e-05
250 0.25 0.01 0.001 162755 4.61196e-07 4.12189e-07 5.10164e-07
250 0.25 0.01 0.01 162755 8.45247e-08 6.10155e-08 1.077e-07
250 0.25 0.01 0.1 162755 1.45889e-08 6.04072e-09 2.29611e-08
250 0.25 0.01 1 162755 2.24946e-11 6.68521e-15 4.49816e-11
250 0.25 0.1 0.001 162755 4.59688e-06 4.10869e-06 5.09161e-06
250 0.25 0.1 0.01 162755 8.38939e-07 6.02262e-07 1.07129e-06
250 0.25 0.1 0.1 162755 1.42825e-07 5.93724e-08 2.21313e-07
250 0.25 0.1 1 162755 2.22659e-10 6.68521e-14 4.45242e-10
250 0.25 1 0.001 162755 4.50188e-05 4.03273e-05 4.97943e-05
250 0.25 1 0.01 162755 7.99192e-06 5.83269e-06 1.00778e-05
250 0.25 1 0.1 162755 1.23524e-06 5.76396e-07 1.86807e-06
250 0.25 1 1 162755 2.08249e-09 6.68551e-13 4.16422e-09
250 0.25 0.01 0.001 403.43 4.94556e-06 4.48963e-06 5.39135e-06
250 0.25 0.01 0.01 403.43 4.28729e-06 3.86792e-06 4.69157e-06
250 0.25 0.01 0.1 403.43 2.56284e-06 2.30765e-06 2.83161e-06
250 0.25 0.01 1 403.43 1.49586e-07 1.23002e-07 1.75763e-07
250 0.25 0.1 0.001 403.43 4.92865e-05 4.46393e-05 5.36837e-05
250 0.25 0.1 0.01 403.43 4.27148e-05 3.85651e-05 4.67468e-05
250 0.25 0.1 0.1 403.43 2.55452e-05 2.29494e-05 2.81433e-05
250 0.25 0.1 1 403.43 1.49552e-06 1.24132e-06 1.75608e-06
250 0.25 1 0.001 403.43 0.000482207 0.00043946 0.000524281
250 0.25 1 0.01 403.43 0.00041719 0.000377817 0.000457128
250 0.25 1 0.1 403.43 0.000250207 0.000224742 0.00027566
250 0.25 1 1 403.43 1.49339e-05 1.23043e-05 1.75703e-05
250 0.25 0.01 0.001 1096.63 1.79628e-06 1.5285e-06 2.0674e-06
250 0.25 0.01 0.01 1096.63 1.34646e-06 1.10909e-06 1.58954e-06
250 0.25 0.01 0.1 1096.63 7.71298e-07 6.18949e-07 9.21601e-07
250 0.25 0.01 1 1096.63 5.31197e-08 3.64707e-08 6.94636e-08
250 0.25 0.1 0.001 1096.63 1.78467e-05 1.52175e-05 2.04796e-05
250 0.25 0.1 0.01 1096.63 1.33695e-05 1.10336e-05 1.57744e-05
250 0.25 0.1 0.1 1096.63 7.66116e-06 6.1797e-06 9.13209e-06
250 0.25 0.1 1 1096.63 5.30488e-07 3.61484e-07 6.9345e-07
250 0.25 1 0.001 1096.63 0.00017115 0.000145827 0.000196376
250 0.25 1 0.01 1096.63 0.000127703 0.000105418 0.000149865
250 0.25 1 0.1 1096.63 7.33462e-05 5.97375e-05 8.7156e-05
250 0.25 1 1 1096.63 5.26021e-06 3.59956e-06 6.87791e-06
250 0.25 0.01 0.001 2980.96 1.27073e-06 1.05428e-06 1.48662e-06
250 0.25 0.01 0.01 2980.96 9.47232e-07 7.55606e-07 1.13228e-06
250 0.25 0.01 0.1 2980.96 4.58932e-07 3.56071e-07 5.59906e-07
250 0.25 0.01 1 2980.96 2.48386e-08 1.38724e-08 3.55661e-08
250 0.25 0.1 0.001 2980.96 1.26737e-05 1.04632e-05 1.48134e-05
250 0.25 0.1 0.01 2980.96 9.44269e-06 7.51069e-06 1.13517e-05
250 0.25 0.1 0.1 2980.96 4.58092e-06 3.5722e-06 5.60458e-06
250 0.25 0.1 1 2980.96 2.48386e-07 1.39126e-07 3.55642e-07
250 0.25 1 0.001 2980.96 0.000124619 0.00010346 0.000145948
250 0.25 1 0.01 2980.96 9.25596e-05 7.43775e-05 0.00011101
250 0.25 1 0.1 2980.96 4.52795e-05 3.48379e-05 5.54213e-05
250 0.25 1 1 2980.96 2.48385e-06 1.38969e-06 3.56514e-06
250 0.25 0.01 0.001 8103.08 8.60632e-07 6.9189e-07 1.03218e-06
250 0.25 0.01 0.01 8103.08 4.96215e-07 3.76402e-07 6.22148e-07
250 0.25 0.01 0.1 8103.08 1.71246e-07 1.14302e-07 2.2759e-07
250 0.25 0.01 1 8103.08 1.53262e-09 7.59987e-10 2.30532e-09
250 0.25 0.1 0.001 8103.08 8.60632e-06 6.93318e-06 1.03154e-05
250 0.25 0.1 0.01 8103.08 4.96215e-06 3.71237e-06 6.2197e-06
250 0.25 0.1 0.1 8103.08 1.71246e-06 1.12701e-06 2.27937e-06
250 0.25 0.1 1 8103.08 1.53262e-08 7.59742e-09 2.31864e-08
250 0.25 1 0.001 8103.08 8.60632e-05 6.9167e-05 0.000103216
250 0.25 1 0.01 8103.08 4.96215e-05 3.70283e-05 6.21262e-05
250 0.25 1 0.1 8103.08 1.71246e-05 1.14727e-05 2.28561e-05
250 0.25 1 1 8103.08 1.53262e-07 7.59529e-08 2.30547e-07
250 0.5 0.01 0.001 0 4.08e-05 3.95118e-05 4.20796e-05
250 0.5 0.01 0.01 0 3.82379e-05 3.70253e-05 3.94628e-05
250 0.5 0.01 0.1 0 2.71416e-05 2.62365e-05 2.80334e-05
250 0.5 0.01 1 0 3.26598e-06 3.134e-06 3.39609e-06
250 0.5 0.1 0.001 0 0.000407839 0.000395103 0.000420327
250 0.5 0.1 0.01 0 0.000382247 0.000370424 0.000394313
250 0.5 0.1 0.1 0 0.000271335 0.000262514 0.000280346
250 0.5 0.1 1 0 3.26583e-05 3.13521e-05 3.39542e-05
250 0.5 1 0.001 0 0.00406958 0.00394143 0.00419629
250 0.5 1 0.01 0 0.00381537 0.00369802 0.00393527
250 0.5 1 0.1 0 0.00270897 0.00261883 0.00279826
250 0.5 1 1 0 0.000326498 0.000313445 0.000339623
250 0.5 0.01 0.001 1 4.05101e-05 3.92665e-05 4.1749e-05
250 0.5 0.01 0.01 1 3.80161e-05 3.68352e-05 3.92284e-05
