c alpha coal mu x0 hom homLow homHigh
10.0 1 1 0.1 32 9.74416e-05 9.54354e-05 9.92443e-05
10.0 1 1 0.001 38 0.000193717 0.000189929 0.000197042
10.0 1 1 0.01 38 0.000161948 0.000158919 0.000164825
10.0 1 1 0.1 38 6.93912e-05 6.77157e-05 7.09377e-05
10.0 1 1 0.001 46 0.000169773 0.000166696 0.000172887
10.0 1 1 0.01 46 0.000139215 0.000136518 0.000141941
10.0 1 1 0.1 46 5.4151e-05 5.27767e-05 5.5576e-05
10.0 1 1 0.001 55 0.00013796 0.000135123 0.000140712
10.0 1 1 0.01 55 0.000110241 0.000107812 0.000112444
10.0 1 1 0.1 55 3.87662e-05 3.76182e-05 3.98966e-05
10.0 1 1 0.001 66 0.000115511 0.000112933 0.000118076
10.0 1 1 0.01 66 8.96459e-05 8.75526e-05 9.16399e-05
10.0 1 1 0.1 66 2.87922e-05 2.78669e-05 2.97511e-05
10.0 1 1 0.001 80 9.87728e-05 9.64449e-05 0.000101129
10.0 1 1 0.01 80 7.24429e-05 7.04773e-05 7.43021e-05
10.0 1 1 0.1 80 1.98316e-05 1.91121e-05 2.06311e-05
10.0 1 1 0.001 95 8.10212e-05 7.86684e-05 8.31827e-05
10.0 1 1 0.01 95 5.832e-05 5.65872e-05 5.99521e-05
10.0 1 1 0.1 95 1.38185e-05 1.32181e-05 1.44168e-05
10.0 1 1 0.001 115 6.21874e-05 6.02516e-05 6.41714e-05
10.0 1 1 0.01 115 4.27172e-05 4.13356e-05 4.40238e-05
10.0 1 1 0.1 115 9.19829e-06 8.7253e-06 9.6897e-06
10.0 1 1 0.001 137 5.43265e-05 5.25711e-05 5.62133e-05
10.0 1 1 0.01 137 3.53147e-05 3.4065e-05 3.65207e-05
10.0 1 1 0.1 137 6.25463e-06 5.85092e-06 6.63378e-06
10.0 1 1 0.001 165 4.18267e-05 4.01576e-05 4.33185e-05
10.0 1 1 0.01 165 2.53186e-05 2.42832e-05 2.6414e-05
10.0 1 1 0.1 165 3.81663e-06 3.53194e-06 4.0975e-06
10.0 1 1 0.001 198 3.78245e-05 3.63878e-05 3.93298e-05
10.0 1 1 0.01 198 2.11778e-05 2.01795e-05 2.21165e-05
10.0 1 1 0.1 198 2.64325e-06 2.41915e-06 2.85447e-06
10.0 1 1 0.001 237 2.98127e-05 2.85171e-05 3.11102e-05
10.0 1 1 0.01 237 1.47984e-05 1.39814e-05 1.55447e-05
10.0 1 1 0.1 237 1.57745e-06 1.40064e-06 1.74776e-06
10.0 1 1 1 0 0.000239265 0.000238807 0.000239687
10.0 1 1 1 15 2.29321e-05 2.27977e-05 2.30732e-05
10.0 1 1 1 19 1.50751e-05 1.49784e-05 1.51805e-05
10.0 1 1 1 22 1.10618e-05 1.09785e-05 1.1157e-05
10.0 1 1 1 26 7.70486e-06 7.62359e-06 7.78217e-06
10.0 1 1 1 32 4.76237e-06 4.69964e-06 4.82324e-06
10.0 1 1 1 38 3.13541e-06 3.08721e-06 3.18677e-06
10.0 1 1 1 46 1.88035e-06 1.84576e-06 1.91892e-06
10.0 1 1 1 55 1.1728e-06 1.14393e-06 1.20037e-06
10.0 1 1 1 66 6.83104e-07 6.61587e-07 7.04249e-07
10.0 1 1 1 80 4.10377e-07 3.93593e-07 4.28098e-07
10.0 1 1 1 95 2.67489e-07 2.54408e-07 2.82229e-07
10.0 1 1 1 115 1.49471e-07 1.40368e-07 1.5985e-07
10.0 1 1 1 137 7.74929e-08 7.06939e-08 8.43487e-08
10.0 1 1 1 165 4.95196e-08 4.36352e-08 5.53204e-08
10.0 1 1 1 198 2.64638e-08 2.21898e-08 3.04287e-08
10.0 1 1 1 237 1.97169e-08 1.61995e-08 2.32964e-08
10.0 1.25 1 0.001 0 0.00231396 0.00230197 0.00232576
10.0 1.25 1 0.01 0 0.00216538 0.00215429 0.00217703
10.0 1.25 1 0.1 0 0.00158179 0.00157323 0.00159042
10.0 1.25 1 0.001 15 0.000780641 0.000773836 0.000787133
10.0 1.25 1 0.01 15 0.000662585 0.000656649 0.00066838
10.0 1.25 1 0.1 15 0.000354167 0.00035047 0.000357987
10.0 1.25 1 0.001 19 0.000666389 0.000659805 0.000672848
10.0 1.25 1 0.01 19 0.000554092 0.000548587 0.000559476
10.0 1.25 1 0.1 19 0.000273984 0.000271097 0.000277534
10.0 1.25 1 0.001 22 0.00060356 0.000597474 0.000610377
